arxiv_id	published	updated	pillar	branch	title	authors	categories	inclusion_note	source_url	pdf_url	local_file	abstract
2608.27142	2026-08-27	2026-08-27	training	post-training/RL and invariance	GRAIN: Bridging Name and Narrative Shifts in Real-World Graph Reasoning through Invariance-Rewarded Agentic RL	Zike Yuan; Han Zhang; Jianzhi Yan; Le Liu; Cai Ke; Huozhi Zhou; Jian Xie; Jiran Yin; Yukun Cao; Yue Yu; Hui Wang; Ming Liu; Bing Qin	cs.AI	Structure-invariance rewards under name and narrative shifts	https://arxiv.org/abs/2608.27142	https://arxiv.org/pdf/2608.27142	paper/2026/2608.27142_grain_bridging_name_and_narrative_shifts_in_real_world_graph_reasoning_t.pdf	Despite their potential in standardized graph tasks, Large Language Models (LLMs) remain brittle to real-world shifts in node identifiers and task formulation. While deterministic graph tools are invariant to such shifts, extracting topological structures from noisy text is highly fragile for LLMs, which often overfit to surface patterns. Moreover, mitigating these parsing failures via multi-agent systems incurs prohibitive latency. To address this, we propose GRAIN, a single-agent framework optimized via reinforcement learning. GRAIN models reasoning as a semantic parsing and tool-execution pipeline, guided by a Structure Invariance Reward. By validating extracted intermediate graphs against ground-truth topologies, this reward forces the LLM to learn robust text-to-structure mappings rather than memorizing linguistic artifacts. We also introduce GRIT, a benchmark evaluating sensitivity to such linguistic shifts. GRAIN outperforms multi-agent baselines by 16.45\% in accuracy with approximately 24\% lower latency. Furthermore, it demonstrates superior structural generalization, halving the out-of-distribution (OOD) gap of SFT models (from 15.77\% to 7.80\%) and maintaining robustness on large-scale graphs beyond the training distribution.
2608.20054	2026-08-20	2026-08-25	training	data and modular supervision	What You Can't See Is What You Learn: Slot-Selective Evidence Masking Favors Compositional Generalization in Shared-Genome Language-Model Societies	Narcis Marincat	cs.AI; cs.LG; cs.MA	Evidence masking changes which compositional solution is learned	https://arxiv.org/abs/2608.20054	https://arxiv.org/pdf/2608.20054	paper/2026/2608.20054_what_you_can_t_see_is_what_you_learn_slot_selective_evidence_masking_fav.pdf	Multi-module neural systems often expose every module to the full input. We test whether a slot-selective evidence-masking regime -- restricting each module to its own evidence span -- changes which solutions gradient-based training discovers. Four-cell societies share one frozen pretrained language model and one low-rank adapter, communicating only through two model-width continuous vectors in a fixed relay. On a prospectively sealed natural-language function-composition task, we train ten matched restricted/global pairs identical except for the attention mask. Restricted-visibility societies outperform their globally visible twins by at least 20 percentage points at both depths in 9 of 10 pairs, with median paired advantages of 0.7648 and 0.6050. Cutting communication reduces every restricted society to chance, and in a post hoc collision-stratified analysis the depth-three advantage remains 0.558 on programs whose complete affine map never appeared in training. In six post hoc-selected restricted societies, packet interventions on correctly answered held-out episodes are consistent with approximately value-indexed relay states; the sole high-performing global model also requires communication, but its same-value packets are not interchangeable across episodes. Thus restricted visibility is not necessary for composition. Under the tested seeds, streams, task world, and training budget, the masking regime strongly shifted which solutions training discovered: a post hoc mask crossover finds both arms mask-native. Because the restricted mask both blocks foreign evidence and implicitly identifies each cell's assigned slot, attribution to evidence visibility alone awaits a role-marked control. The preregistered battery nevertheless formally fails because restricted-arm median depth-three accuracy is 0.6988, below the 0.70 floor; an earlier qualification cohort yielded 0/10 complete passes.
2608.06347	2026-08-06	2026-08-06	training	post-training/distillation	RP-OPSD: Reasoning-Pivot-Guided On-Policy Self-Distillation for Multilingual Reasoning Transfer	Xinye Wang; Junxiao Liu; Shujian Huang	cs.CL	Reasoning-pivot supervision for multilingual transfer	https://arxiv.org/abs/2608.06347	https://arxiv.org/pdf/2608.06347	paper/2026/2608.06347_rp_opsd_reasoning_pivot_guided_on_policy_self_distillation_for_multiling.pdf	Multilingual reasoning transfer is crucial for extending reasoning capabilities of large language models (LLMs) beyond high-resource languages. On-policy self-distillation (OPSD) and its variants have emerged as a promising paradigm, providing dense token-level supervision on student-generated rollouts, yet their objectives do not explicitly prioritize reasoning signals most critical to cross-lingual transfer. We characterize that target-language reasoning comprises the generation of both surface text and reasoning pivots, which are decisions that advance or redirect the reasoning process and shape subsequent inference. This motivates concentrating privileged distillation around such pivots. We therefore propose RP-OPSD, Reasoning-Pivot-guided On-Policy Self-Distillation, using the distributional shift between matched teacher views with and without an English reference solution as an operational proxy to guide privileged distillation and reference anchoring. Experiments on mathematical reasoning benchmarks covering 17 languages and multiple difficulty levels show that our method outperforms strong multilingual reasoning baselines and OPSD variants. Further analysis reveals that RP-OPSD concentrates privileged distillation on reasoning-control and problem-condistioned state-update tokens, while downweighting it for tokens that mainly support surface realization. Our code is available at https://github.com/NJUNLP/RP-OPSD.
2607.23771	2026-07-26	2026-07-26	training	post-training/controller-aware	Training Language Models to Cooperate with Inference-Time Controllers	Moumita Choudhury; Vanshaj Khattar; Jing Liu; Toshiaki Koike-Akino; Ankush Chakrabarty; Shlomo Zilberstein; Ye Wang	cs.AI	Generalization to unseen inference-controller compositions	https://arxiv.org/abs/2607.23771	https://arxiv.org/pdf/2607.23771	paper/2026/2607.23771_training_language_models_to_cooperate_with_inference_time_controllers.pdf	Large language model (LLM) performance increasingly depends not only on the base model, but also on the inference-time controller used to organize reasoning. Existing post-training methods, however, typically optimize for a single fixed interaction pattern, despite real deployments relying on diverse controllers such as Chain-of-Thought, self-consistency, debate, planning, and verification pipelines. This creates a training--deployment mismatch and limits transfer to new workflows. We introduce CALM (Controller-Aware Language Models), a post-training framework that explicitly places controllers in the training loop. We formulate controller-aware post-training as multi-task reinforcement learning over controller-induced interaction protocols, where controllers are compositions of reusable local reasoning modules. This structure also induces a module-level decomposition of mixed-controller training under a turn-level GRPO objective, enabling a systematic study of controller and module-aware training strategies. We evaluate CALM on held-out controller compositions and broader controller shifts, showing that controller-aware post-training improves generalization across inference-time workflows beyond single-controller optimization.
2607.07748	2026-07-08	2026-07-08	training	mid-training and verified synthesis	Selective Left-Shift: Turning Test-Time Compute and Difficulty-based Curation into Training Data for Low-Resource Code Generation	Didula Samaraweera; Anjana Supun; Srinath Perera	cs.LG	Moves test-time search into verified low-resource code data	https://arxiv.org/abs/2607.07748	https://arxiv.org/pdf/2607.07748	paper/2026/2607.07748_selective_left_shift_turning_test_time_compute_and_difficulty_based_cura.pdf	Large Language Models achieve strong code generation for high resource languages like Python and Java but suffer sharp performance drops on Low-Resource Programming Languages~(LRPLs) such as Julia. Improving Small Language Models~(SLMs) for these languages faces a trilemma: Supervised Fine-Tuning~(SFT) is bottlenecked by data scarcity, inference-time scaling is too expensive for deployment, and Reinforcement Learning from scratch yields near zero advantages. We propose a three-phase pipeline that resolves this trilemma by decoupling syntax acquisition from algorithmic reasoning. First, we \emph{left-shift} inference-time compute to an offline data synthesis engine that uses iterative compiler and test feedback to generate verified training examples. Second, we fine-tune an SLM on this synthetic, verified data to embed strong syntactic priors. Third, we apply Reinforcement Learning with Verifiable Reward~(RLVR) grounded by language-agnostic Input/Output tests, where the SFT prior constrains exploration away from syntax errors. Applied to Qwen3-8B, our pipeline improves pass@1 by up to +7.6 points on MultiPL-E and +14.2 points on the Agnostics LiveCodeBench for Julia compared to SOTA results. Furthermore, the pipeline only used $\frac{1}{3}$ data and $\frac{1}{6}$ cost over the previous state-of-the-art. We further demonstrate that the pipeline generalizes to Ballerina achieving 49.7\% MultiPL-E Pass@1, a language with near-zero pretraining representation. Ablations confirm that both the SFT phase and execution-grounded rewards are necessary for stable training.
2607.06855	2026-07-07	2026-07-07	training	post-training/distillation	Geometric Self-Distillation for Reasoning Generalization	Josip Jukić; Ivan Titov	cs.LG; cs.CL	Geometric regularization limits OOD drift in self-distillation	https://arxiv.org/abs/2607.06855	https://arxiv.org/pdf/2607.06855	paper/2026/2607.06855_geometric_self_distillation_for_reasoning_generalization.pdf	On-policy distillation is a practical post-training recipe for large language models, supplying dense teacher supervision on the student's own trajectories. In privileged-context self-distillation, teacher and student are the same model conditioned on the same prefix, but the teacher also sees a hint or the full solution trace. This makes supervision abundant but harder to trust: the teacher can be confident about continuations its privileged view makes obvious but the student cannot yet justify. The distillation pull is strongest where teacher and student disagree most, and over many updates it accumulates into drift that degrades out-of-distribution (OOD) reasoning. We introduce GeoSD, a geometric self-distillation objective that treats this drift as movement in the student's predictive behavior and counters it in two complementary ways. A Hellinger loss scales each teacher preference by the overlap the student already shares with it, attenuating the pull on tokens the student cannot yet support. Since these pulls still compound over training, a proximal term penalizes how far the student's predictions drift from a recent checkpoint, measured as a Fisher-Rao distance. Both are distances in the same geometry of next-token distributions, and a natural-gradient update takes its steps in that geometry rather than in parameter space. Across mathematical reasoning benchmarks and three model families, GeoSD preserves the in-distribution gains of self-distillation while improving average OOD accuracy by 5.7-8.6 points over the base model, with gains holding across model scales from 1.7B to 32B. Analyzing why standard matching fails out of distribution, we find it wins agreement with the teacher by draining mass from alternatives at high-entropy states, resulting in confident agreement on wrong answers, whereas GeoSD keeps those alternatives in reach.
2606.23687	2026-06-22	2026-08-30	training	mid-training/position curriculum	Randomized YaRN Improves Length Generalization for Long-Context Reasoning	Manas Mehta; Fangcong Yin; Greg Durrett	cs.CL	Randomized positional exposure for long-context reasoning	https://arxiv.org/abs/2606.23687	https://arxiv.org/pdf/2606.23687	paper/2026/2606.23687_randomized_yarn_improves_length_generalization_for_long_context_reasonin.pdf	Large language models (LLMs) are typically pretrained on short sequences and then extended to work on longer sequences with additional training. However, such LLMs still struggle to further generalize to very long sequences. We propose Randomized YaRN, a training method that improves length generalization by combining YaRN-based positional extrapolation with randomized positional encoding and a length curriculum. During training on short context data, tokens are assigned YaRN positional encodings sampled from a larger position range, exposing the model to out-of-distribution positional representations even on short-context inputs. We evaluate Randomized YaRN on three challenging long-context reasoning benchmarks, BABILong, Multi-Round Coreference Resolution (MRCR), and LongBench v2. When training on data with short context, Randomized YaRN consistently improves reasoning performance on context lengths from 16K to 128K and outperforms standard fine-tuning, with the largest gains appearing at far out-of-distribution lengths. Our results suggest that progressively exposing models to OOD positional distributions provides an effective recipe for generalizable long-context reasoning.
2606.12373	2026-06-10	2026-06-10	training	post-training/RL environments	Verifiable Environments Are LEGO Bricks: Recursive Composition for Reasoning Generalization	Hao Xiang; Qiaoyu Tang; Le Yu; Yaojie Lu; Xianpei Han; Ben He; Le Sun; Bowen Yu; Peng Wang; Hongyu Lin; Dayiheng Liu	cs.CL	Recursive composition of verifiable environments	https://arxiv.org/abs/2606.12373	https://arxiv.org/pdf/2606.12373	paper/2026/2606.12373_verifiable_environments_are_lego_bricks_recursive_composition_for_reason.pdf	Reinforcement Learning (RL) with verifiable environments has emerged as a powerful approach for enhancing the reasoning capabilities of Large Language Models (LLMs). While prior research demonstrates that scaling environment quantity improves RL performance, existing manual or individual construction methods suffer from linear scaling limits, thereby hindering scalable reasoning generalization. This paper introduces RACES (\textbf{R}ecursive \textbf{A}utomated \textbf{C}omposition for \textbf{E}nvironment \textbf{S}caling), a framework that conceptualizes verifiable environments as composable building blocks that can be recursively assembled. The key insight is that when the codomain (output type) of one environment matches the domain (input type) of another, they can be automatically fused into a new verifiable environment, enabling recursive composition. RACES is implemented with 300 individual environments and defines a set of composition operators (\textsc{SEQUENTIAL}, \textsc{PARALLEL}, \textsc{SORT}, and \textsc{SELECT}) that induce diverse reasoning patterns. Extensive experiments show that RL training on these composite environments consistently enhances reasoning generalization. Specifically, RACES improves DeepSeek-R1-Distill-Qwen-14B by an average of 3.1 points (from 48.2 to 51.3) and boosts Qwen3-14B performance from 58.8 to 61.1 on six benchmarks, which are unseen during the construction of training environments. Moreover, RACES achieves performance comparable to training on 300 individual environments using only 50 base environments, demonstrating significant efficiency in environment utilization.
2605.26924	2026-05-26	2026-05-26	training	post-training/SFT data adaptation	Learning to Adapt SFT Data for Better Reasoning Generalization	Lisong Sun; Li Wang; Chen Zhang; Jinyang Wu; Kui Zhang; Tianhao Peng; Wenjun Wu	cs.CL	Adapts expert traces to the target model distribution	https://arxiv.org/abs/2605.26924	https://arxiv.org/pdf/2605.26924	paper/2026/2605.26924_learning_to_adapt_sft_data_for_better_reasoning_generalization.pdf	Large language models (LLMs) have achieved remarkable progress, with post-training playing a crucial role in enhancing their reasoning capabilities. Among post-training paradigms, supervised fine-tuning (SFT) is widely used: it leverages external data to provide dense supervision and enables efficient training. However, directly fine-tuning on expert data can hurt generalization when the data distribution is mismatched with the target model's own distribution. In this work, we propose Data Adaptation for Reasoning Tuning (DART), which formulates the use of a fixed, potentially distributionally misaligned SFT dataset as an optimization problem over demonstration transformations. DART trains a mapper model with reinforcement learning to convert original SFT data into model-adapted supervision that better matches the target model's distribution and learning preferences. The transformed data are then used for SFT, allowing the target model to better exploit external supervision. Experiments across multiple models and datasets show that DART improves generalization, achieves higher training efficiency than direct RL, and helps models surpass standard SFT. Our code is available at https://anonymous.4open.science/r/DART525E50D.
2605.09270	2026-05-10	2026-05-25	training	post-training/SFT target design	Memorize Theorems, Not Instances: Probing SFT Generalization through Mathematical Reasoning	Ruiying Peng; Mengyu Yang; Jing Lei; Xiaohui Li; Xueyu Wu; Xinlei Chen	cs.LG; cs.AI	Supervises theorem application rather than surface answers	https://arxiv.org/abs/2605.09270	https://arxiv.org/pdf/2605.09270	paper/2026/2605.09270_memorize_theorems_not_instances_probing_sft_generalization_through_mathe.pdf	Supervised Fine-Tuning (SFT) is widely used for task-specific adaptation, yet recent work shows it systematically undermines reasoning generalization. We argue the root cause is not memorization itself, but its target: vanilla SFT drives models to exploit and memorize spurious surface correlations in problem-solution pairs, leaving them brittle to superficial input variations. To address this, we propose Theorem-SFT, which reorients supervision toward explicit theorem application by teaching models how rules are invoked rather than what answers look like. Theorem-SFT yields consistent gains across benchmarks and model families: +8.8% on MATH (LLaMA3.2-3B-Instruct) and +20.27% on GeoQA (Qwen2.5-VL-7B-Instruct) without modality-specific re-training. Fine-tuning MLP layers alone matches full-layers performance, implicating feed-forward components as the primary locus of reasoning rules. Our findings reframe the debate: Generalization failures stem not from memorization as a mechanism, but from memorizing the wrong inductive targets.
