arxiv_id	pillar	branch	inclusion_note
2608.27142	training	post-training/RL and invariance	Structure-invariance rewards under name and narrative shifts
2608.20054	training	data and modular supervision	Evidence masking changes which compositional solution is learned
2608.06347	training	post-training/distillation	Reasoning-pivot supervision for multilingual transfer
2607.23771	training	post-training/controller-aware	Generalization to unseen inference-controller compositions
2607.07748	training	mid-training and verified synthesis	Moves test-time search into verified low-resource code data
2607.06855	training	post-training/distillation	Geometric regularization limits OOD drift in self-distillation
2606.23687	training	mid-training/position curriculum	Randomized positional exposure for long-context reasoning
2606.12373	training	post-training/RL environments	Recursive composition of verifiable environments
2605.26924	training	post-training/SFT data adaptation	Adapts expert traces to the target model distribution
2605.09270	training	post-training/SFT target design	Supervises theorem application rather than surface answers
2605.08061	training	post-training/structured rewards	Rubric-decomposed rewards transfer beyond the source corpus
2604.17696	training	post-training/hybrid and self-improvement	Trajectory rewards select domain-general game reasoning
2604.09258	contextual-background	pre-training optimization	Background optimizer study without an isolated reasoning transfer boundary
2604.08926	training	post-training/SFT plus RL	Dynamic balance between stable imitation and exploration
2603.27226	training	curriculum learning	Negative result on easy-to-hard ordering for deduction
2603.02091	training	synthetic data	Rule-generated fictional knowledge teaches multi-hop composition
2602.08658	training	reasoning-skill mixtures	Deduction, induction, and abduction transfer to natural tasks
2602.06475	training	post-training/causal rewards	Counterfactual robustness as a process reward
2601.04992	training	post-training/negative traces	Incorrect chains reduce overfitting and increase exploration
2601.03676	training	post-training/hybrid and self-improvement	Skill-taxonomy-guided compositional data generation
2608.16647	training	post-training/on-policy distillation	Controlled cross-domain and cross-origin distillation transfer
2608.14791	training	post-training/process-aware RL	Abductive process rewards transfer to eleven unseen tasks
2606.25178	training	post-training/multi-domain curriculum	Gradient alignment estimates cross-domain RLVR transferability
2606.09932	training	post-training/SFT-to-RL handoff	Restores plasticity after excessive SFT and improves OOD transfer
2606.05025	training	post-training/invariant distillation	Aligns gradients across logically isomorphic semantic domains
2604.08477	training	post-training/RL data curation	Natural-instruction RLVR transfers to unseen reasoning benchmarks
2604.03993	training	post-training/noisy rewards	Online label refinement improves ID and OOD reasoning under noise
2602.02405	training	post-training/self-distillation	Aligns expert solutions to the student distribution
2601.21909	training	post-training/SFT plus RL	Separates abstract strategies from instance-specific execution
2602.10815	training	post-training/SFT versus RL	Data difficulty explains part of the VLM OOD generalization gap
2602.02518	training	post-training/curriculum	Graph curriculum transfers exploration and reasoning to unseen domains
2505.03981	training	post-training/cross-modal transfer	Text-only post-training transfers across modalities and domains
2506.09433	training	post-training/causal debiasing	Causal decomposition improves OOD formal and logical reasoning
2502.11525	training	post-training/length transfer	Rule-following supervision transfers length generalization across tasks
2608.05254	inference	prompt decomposition	Extract constraints before solving
2607.21453	inference	error-localized search	Reuse valid prefixes after feedback-localized errors
2607.17188	inference	monitoring and control	Uncertainty-progress signals choose continue, switch, or stop
2607.06974	inference	memory	Reusable modular instruction memory at test time
2605.16410	inference	hint routing	Black-box hints transfer across benchmarks and VLMs
2605.09853	training	post-training/exploration	Preserves policy diversity needed by inference-time sampling
2604.01430	inference	test-time thinking	RL-trained thinking transfers latent deduction to new facts
